iteration,geo.Z,geo.X,geo.H,geo.W,thrust_avg,thrust_std,thrust_max,thrust_min
1,0.11004397643941494,0.3605797666145969,0.11748534675651003,0.09172391403611728,55.162776487799356,82.9191703205615,232.77355363152134,0.0
2,0.09737065285064936,0.38461680691900296,0.1424844468263045,0.11654779636465473,61.81836470915823,92.60467093506166,259.26033654539066,0.0
3,0.142476276198294,0.44824567430063045,0.11043984260718248,0.12308345310081673,45.151372858736664,66.91504035452338,189.51690336235433,0.0
4,0.09717962064846097,0.3036998360706717,0.18811432408704185,0.10700822504302586,85.62337298641573,127.5346942661133,359.2613297523418,0.0
5,0.09341770021534523,0.3941063736750666,0.18629464467346749,0.11808337070282704,80.8759425952368,120.61597467461303,335.30096055766165,0.0
6,0.1344545082095461,0.4134218408304424,0.1871596189863587,0.08498071450182215,83.66775264329851,124.56959556793657,344.54192377473265,0.0
7,0.12790151688346538,0.33216292688058696,0.10124473999991823,0.13156625390988094,40.438428821866715,61.06393500675437,172.42054468454342,0.0
8,0.1256348072891553,0.43520612265869874,0.1438819954875831,0.08173879780657994,64.67687880783218,96.62588238039291,269.34435301755195,0.0
9,0.11109701347086642,0.3038973254102517,0.1993254365077325,0.14825214024835204,86.32474418964544,128.7801243097269,362.1796901265196,0.0
10,0.10132580921458761,0.38445127956505487,0.14543440506656477,0.1016855886837589,65.56496814539524,98.31401406296301,274.7281556366942,0.0
11,0.10374565186923024,0.46537293273449043,0.18730902937575922,0.11658982633140189,79.842447291375,118.41160877887631,329.67091275115604,0.0
12,0.12973264427966025,0.45689788088931327,0.15609038874254982,0.1125161776513734,66.30875302925661,98.65375643064218,276.2475366424494,0.0
13,0.12269014853969179,0.38950986390508374,0.10348875854002267,0.12064724992253731,42.43888758908513,63.283753544417145,177.7476364427476,0.0
14,0.09946969301141617,0.4181161844205334,0.1355575770046956,0.1391822348087641,54.51370685749629,81.01568210940628,227.51854482006948,0.0
15,0.10786048993392708,0.37318714753612686,0.17936673198585973,0.10741355431083617,79.34200242138762,118.8745693921658,331.63179048653143,0.0
