plotfile,time_s,time_us,thrust_N
plt00000,0.0,0.0,0.0
plt01000,9.990999999999804e-08,0.09990999999999804,2.8143117834390644e-28
plt02000,1.99910000000003e-07,0.199910000000003,5.405265596909876e-28
plt03000,2.999100000000105e-07,0.2999100000000105,9.020149516987337e-28
plt04000,3.9991000000001804e-07,0.39991000000001803,1.349281750435782e-27
plt05000,4.999100000000256e-07,0.49991000000002556,1.8908866555087065e-27
plt06000,5.999100000000331e-07,0.599910000000033,2.597417996850613e-27
plt07000,6.999100000000406e-07,0.6999100000000406,3.602082805826573e-27
plt08000,7.999100000000481e-07,0.7999100000000481,4.712655631871461e-27
plt09000,8.999100000000556e-07,0.8999100000000556,6.420880640309535e-27
plt10000,9.999100000000631e-07,0.9999100000000631,8.019081331075734e-27
plt11000,1.0999100000000706e-06,1.0999100000000706,9.60902027920514e-27
plt12000,1.1999100000000781e-06,1.1999100000000782,1.1233432091410906e-26
plt13000,1.2999100000000857e-06,1.2999100000000856,1.3753054641339444e-26
plt14000,1.3999100000000932e-06,1.3999100000000932,1.631137629241737e-26
plt15000,1.4999100000001007e-06,1.4999100000001007,1.8746712613353566e-26
plt16000,1.5999100000001082e-06,1.5999100000001083,2.2361286738920618e-26
plt17000,1.6999100000001157e-06,1.6999100000001157,2.6349378540626997e-26
plt18000,1.7999100000001232e-06,1.7999100000001231,5.825429418319952e-17
plt19000,1.8999100000001307e-06,1.8999100000001308,150.8919700491971
plt20000,1.9999099999999424e-06,1.9999099999999423,228.97293903966806
plt21000,2.099909999999738e-06,2.099909999999738,271.13424207847333
plt22000,2.199909999999534e-06,2.1999099999995337,328.7226117215706
plt23000,2.2999099999993296e-06,2.2999099999993295,393.66229478530124
plt24000,2.3999099999991254e-06,2.3999099999991254,424.0299928425868
plt25000,2.499909999998921e-06,2.499909999998921,382.4433756437394
plt26000,2.599909999998717e-06,2.599909999998717,297.9449056540487
plt27000,2.6999099999985127e-06,2.6999099999985128,260.0212744103974
plt28000,2.7999099999983084e-06,2.7999099999983086,229.00928609294272
plt29000,2.899909999998104e-06,2.899909999998104,220.2844857572335
plt30000,2.9999099999979e-06,2.9999099999978998,226.84628722939826
plt31000,3.0999099999976957e-06,3.0999099999976956,213.1840884195761
plt32000,3.1999099999974914e-06,3.1999099999974914,201.67683294712594
plt33000,3.299909999997287e-06,3.299909999997287,231.71033375092287
plt34000,3.399909999997083e-06,3.399909999997083,243.07389241252062
plt35000,3.4999099999968787e-06,3.499909999996879,239.31933659877348
plt36000,3.5999099999966744e-06,3.5999099999966746,230.7424138148199
plt37000,3.69990999999647e-06,3.6999099999964704,211.3217969541748
plt38000,3.799909999996266e-06,3.7999099999962658,197.81984832391896
plt39000,3.8999099999964225e-06,3.8999099999964226,178.26090636027928
plt40000,3.999909999996642e-06,3.9999099999966417,172.4662796464526
plt40001,4e-06,4.0,172.46792537644149
